Status,Power_range_sensor_1,Power_range_sensor_2,Power_range_sensor_3 ,Power_range_sensor_4,Pressure _sensor_1,Pressure _sensor_2,Pressure _sensor_3,Pressure _sensor_4,Vibration_sensor_1,Vibration_sensor_2,Vibration_sensor_3,Vibration_sensor_4
Normal,4.5044,0.7443,6.34,1.9052,29.5315,0.8647,2.2044,6.048,14.4659,21.648,15.3429,1.2186
Normal,4.4284,0.9073,5.6433,1.6232,27.5032,1.4704,1.9929,5.9856,20.8356,0.0646,14.8813,7.3483
Normal,4.5291,1.0199,6.113,1.0565,26.4271,1.9247,1.942,6.7162,5.3358,11.0779,25.0914,9.2408
Normal,5.1727,1.0007,7.8589,0.2765,25.1576,2.609,2.9234,6.7485,1.9017,1.8463,28.664,4.0157
Normal,5.2258,0.6125,7.9504,0.1547,24.0765,3.2113,4.4563,5.8411,0.5077,9.37,34.8122,13.4966
Normal,4.8834,0.5786,5.6021,0.5942,21.0365,2.6275,4.3996,5.3487,3.6465,9.3793,36.2431,11.124
Normal,5.7422,0.8862,5.1013,0.9402,15.5171,2.92,2.7061,5.0366,9.1854,9.1116,27.3162,2.8526
Normal,6.5076,0.5438,7.153,0.6711,11.1481,4.2967,3.5731,4.6123,14.7705,8.0038,24.9714,2.1417
Normal,5.625,0.0403,7.7087,0.3214,8.7975,2.3293,4.788,5.203,4.3388,2.4187,20.9187,2.1233
Normal,4.9942,0.4092,6.2604,0.6931,6.189,0.1537,2.4934,5.6573,9.8132,13.3581,23.5036,0.7478
Normal,5.9079,0.9229,5.3613,0.3516,4.0913,1.1409,1.4172,4.4551,8.1422,9.8039,20.7987,0.1108
Normal,6.4215,0.5978,5.5765,1.1847,1.3588,2.2807,2.8529,4.5002,0.997,8.7331,27.2793,2.114
Normal,5.9253,0.2161,6.2439,0.8835,4.0169,1.3687,3.9973,5.3891,18.1585,14.4843,25.4514,5.9267
Normal,5.5783,0.6262,6.3556,0.6747,9.9827,1.3455,5.7394,4.1904,16.6814,16.8661,23.3743,2.6033
Normal,5.495,0.4971,5.2286,1.1902,14.9418,1.6808,6.9821,2.7535,11,16.3399,7.136,6.4898
Normal,5.6332,0.5182,4.3826,1.8375,19.1719,2.3223,6.841,3.5384,13.7643,20.014,4.0804,20.5402
Normal,5.8438,1.1902,5.1022,2.0297,20.4563,3.9257,9.0478,3.8586,12.3057,17.4384,29.7256,21.8234
Normal,5.4053,1.8027,5.9399,1.5262,18.5719,3.669,11.0384,3.5604,10.6625,10.4963,24.8606,16.2476
Normal,5.2075,1.4804,5.8466,1.1105,16.7172,2.6032,8.9125,4.2609,20.7064,7.893,7.0806,24.1498
Normal,6.0489,0.9576,5.3467,1.5335,15.4675,3.7974,7.7415,4.0424,23.3928,3.3972,17.54,27.5655
Normal,6.4261,1.2891,4.8642,1.8054,14.7286,4.4967,8.8096,3.5881,13.9304,5.6036,16.3583,17.023
Normal,5.95,2.1762,5.1691,1.4731,13.0772,3.1489,7.8826,3.8286,19.7832,15.1028,0.3693,18.6755
Normal,5.7156,2.6184,5.5893,1.6351,7.2155,2.231,6.6954,3.0414,18.5093,9.3423,19.9033,10.2747
Normal,5.5472,2.6926,4.8669,2.3172,0.2678,2.1027,7.708,1.5848,19.3678,9.8962,14.4566,12.6657
Normal,5.1846,3.2327,4.5062,2.6871,3.4962,1.5004,8.3022,2.0773,24.2329,6.2221,3.8311,16.8568
Normal,4.9384,4.1675,5.6369,2.5845,3.8532,1.5918,9.6893,2.6529,20.3648,0.9509,9.9516,22.4142
Normal,4.7827,4.7452,6.7557,2.406,1.7654,1.5663,12.1851,1.6842,24.9714,2.0402,9.5547,43.2314
Normal,4.758,4.9228,6.4947,2.6715,0.4711,1.3999,12.3296,0.7687,31.4981,4.1911,3.6834,40.425
Normal,4.3707,5.3229,5.6644,2.9471,2.425,1.9732,11.6441,0.7525,31.1842,4.0896,6.2036,21.8327
Normal,3.4204,6.0416,6.0992,2.4609,4.1657,1.7513,12.1943,1.6114,26.0976,3.7111,6.2775,15.3706
Normal,3.4067,6.4297,7.7444,1.9949,4.8649,1.7987,12.1481,1.5097,27.5747,7.1175,6.7113,30.7042
Normal,4.4907,6.4764,8.1088,2.634,6.5361,3.298,11.3458,0.0116,12.7303,6.4436,2.5294,12.9796
Normal,4.5383,6.8188,6.7584,3.4195,7.4436,3.4332,11.1782,0.2936,11.0317,6.8867,3.231,18.7862
Normal,3.3801,7.5375,6.2759,3.1348,7.2948,1.9189,11.5273,0.6716,20.291,10.4409,9.2223,29.661
Normal,2.8629,7.9019,7.4167,2.5232,7.7957,0.7803,12.1527,0.6462,14.0504,8.0684,12.8042,9.7208
Normal,3.2712,7.8314,8.3066,2.579,9.3182,0.667,11.6475,0.1572,7.4776,3.7849,9.6285,4.1819
Normal,3.6456,7.9056,8.2068,2.8931,12.4821,1.5502,11.1909,0.2381,13.7273,3.2034,13.6904,22.4235
Normal,3.7765,8.2022,8.2141,2.785,16.5386,2.6009,12.2463,0.4335,12.3426,6.3052,6.3513,11.1517
Normal,3.7646,8.399,8.5181,2.5626,17.7784,2.7581,12.6475,0.3896,11.5672,2.4002,15.6475,19.5248
Normal,3.6035,8.3688,8.2333,2.5104,16.499,2.2634,11.1563,0.2971,3.2495,12.1949,21.1126,16.2568
Normal,3.9029,8.1802,8.183,2.3987,14.9468,3.113,10.5598,0.2381,5.3266,7.893,9.8778,2.1048
Normal,4.7177,8.1509,9.2725,2.0535,14.3417,4.6297,10.8511,0.897,2.7695,3.3788,15.7491,9.6839
Normal,4.9384,8.5904,9.9609,1.6562,15.6956,4.6401,11.0846,1.0635,6.5452,6.6744,19.6171,11.9364
Normal,4.313,9.0179,9.1983,1.4008,18.1503,3.5847,10.9678,0.6959,10.8194,2.0217,19.2663,10.7179
Normal,3.9359,8.8934,8.259,1.4896,19.6381,2.8183,9.8962,0.5815,1.5601,4.9112,13.6627,18.5739
Normal,4.3607,8.6948,8.2718,1.9208,18.7752,3.1408,8.6663,0.5213,1.514,7.136,20.3741,21.2788
Normal,5.1352,8.811,8.8394,2.1854,16.8114,3.6794,8.5646,0.2601,9.8316,12.7119,4.8096,13.0165
Normal,5.6131,9.0033,8.92,2.1671,16.0229,3.8378,9.1703,0.6577,5.0866,11.2441,6.1298,30.5011
Normal,5.3366,8.9108,8.3002,2.1323,15.7799,3.0795,8.9114,0.6693,0.3416,14.8444,5.8067,33.446
Normal,4.7406,8.5373,7.5906,2.0627,13.8012,2.4368,8.2432,0.3167,7.2191,17.3461,1.4217,24.0113
Normal,4.8413,8.1445,7.1329,2.3099,10.2902,2.7801,7.982,0.1838,7.8653,6.6929,6.0374,23.6605
