height,tail length,leg length,nose circumference
5.151,3.535,1.414,0.202
4.949,3.03,1.414,0.202
4.747,3.232,1.313,0.202
4.646,3.131,1.515,0.202
5.05,3.636,1.414,0.202
5.454,3.939,1.717,0.404
4.646,3.434,1.414,0.303
5.05,3.434,1.515,0.202
4.444,2.929,1.414,0.202
4.949,3.131,1.515,0.101
5.454,3.737,1.515,0.202
4.848,3.434,1.616,0.202
4.848,3.03,1.414,0.101
4.343,3.03,1.111,0.101
5.858,4.04,1.212,0.202
5.757,4.444,1.515,0.404
5.454,3.939,1.313,0.404
5.151,3.535,1.414,0.303
5.757,3.838,1.717,0.303
5.151,3.838,1.515,0.303
5.454,3.434,1.717,0.202
5.151,3.737,1.515,0.404
4.646,3.636,1.01,0.202
5.151,3.333,1.717,0.505
4.848,3.434,1.919,0.202
5.05,3.03,1.616,0.202
5.05,3.434,1.616,0.404
5.252,3.535,1.515,0.202
5.252,3.434,1.414,0.202
4.747,3.232,1.616,0.202
4.848,3.131,1.616,0.202
5.454,3.434,1.515,0.404
5.252,4.141,1.515,0.101
5.555,4.242,1.414,0.202
4.949,3.131,1.515,0.202
5.05,3.232,1.212,0.202
5.555,3.535,1.313,0.202
4.949,3.636,1.414,0.101
4.444,3.03,1.313,0.202
5.151,3.434,1.515,0.202
5.05,3.535,1.313,0.303
4.545,2.323,1.313,0.303
4.444,3.232,1.313,0.202
5.05,3.535,1.616,0.606
5.151,3.838,1.919,0.404
4.848,3.03,1.414,0.303
5.151,3.838,1.616,0.202
4.646,3.232,1.414,0.202
5.353,3.737,1.515,0.202
5.05,3.333,1.414,0.202
7.07,3.232,4.747,1.414
6.464,3.232,4.545,1.515
6.969,3.131,4.949,1.515
5.555,2.323,4.04,1.313
6.565,2.828,4.646,1.515
5.757,2.828,4.545,1.313
6.363,3.333,4.747,1.616
4.949,2.424,3.333,1.01
6.666,2.929,4.646,1.313
5.252,2.727,3.939,1.414
5.05,2.02,3.535,1.01
5.959,3.03,4.242,1.515
